Address	|	Frame	|	Content
0x000		0x00		©
0x001		0x00		z
0x002		0x00		ó
0x003		0x00		>
0x004		0x00		D
0x005		0x00		Ω
0x006		0x00		Õ
0x007		0x00		Æ
0x008		0x00		¬
0x009		0x00		£
0x00a		0x00		¥
0x00b		0x00		»
0x00c		0x00		T
0x00d		0x00		6
0x00e		0x00		ù
0x00f		0x00		s
0x010		0x00		´
0x011		0x00		¥
0x012		0x00		2
0x013		0x00		ó
0x014		0x00		í
0x015		0x00		?
0x016		0x00		#
0x017		0x00		+
0x018		0x00		V
0x019		0x00		°
0x01a		0x00		p
0x01b		0x00		l
0x01c		0x00		ç
0x01d		0x00		T
0x01e		0x00		6
0x01f		0x00		_
0x020		0x00		Æ
0x021		0x00		r
0x022		0x00		A
0x023		0x00		ñ
0x024		0x00		W
0x025		0x00		6
0x026		0x00		2
0x027		0x00		Ω
0x028		0x00		π
0x029		0x00		ä
0x02a		0x00		Æ
0x02b		0x00		±
0x02c		0x00		ü
0x02d		0x00		8
0x02e		0x00		L
0x02f		0x00		7
0x030		0x00		ë
0x031		0x00		]
0x032		0x00		≠
0x033		0x00		K
0x034		0x00		A
0x035		0x00		u
0x036		0x00		“
0x037		0x00		;
0x038		0x00		>
0x039		0x00		j
0x03a		0x00		Ü
0x03b		0x00		´
0x03c		0x00		ù
0x03d		0x00		a
0x03e		0x00		Æ
0x03f		0x00		8
0x040		0x00		≤
0x041		0x00		Œ
0x042		0x00		s
0x043		0x00		≠
0x044		0x00		-
0x045		0x00		I
0x046		0x00		W
0x047		0x00		ä
0x048		0x00		≤
0x049		0x00		©
0x04a		0x00		c
0x04b		0x00		>
0x04c		0x00		¡
0x04d		0x00		T
0x04e		0x00		–
0x04f		0x00		z
0x050		0x00		U
0x051		0x00		¶
0x052		0x00		i
0x053		0x00		:
0x054		0x00		C
0x055		0x00		c
0x056		0x00		U
0x057		0x00		%
0x058		0x00		q
0x059		0x00		
0x05a		0x00		Ø
0x05b		0x00		≥
0x05c		0x00		ø
0x05d		0x00		J
0x05e		0x00		è
0x05f		0x00		^
0x060		0x00		A
0x061		0x00		*
0x062		0x00		3
0x063		0x00		…
0x064		0x00		R
0x065		0x00		j
0x066		0x00		{
0x067		0x00		®
0x068		0x00		;
0x069		0x00		Ç
0x06a		0x00		ä
0x06b		0x00		†
0x06c		0x00		µ
0x06d		0x00		É
0x06e		0x00		æ
0x06f		0x00		3
0x070		0x00		Õ
0x071		0x00		P
0x072		0x00		»
0x073		0x00		¥
0x074		0x00		W
0x075		0x00		E
0x076		0x00		∏
0x077		0x00		m
0x078		0x00		§
0x079		0x00		U
0x07a		0x00		H
0x07b		0x00		P
0x07c		0x00		~
0x07d		0x00		∂
0x07e		0x00		é
0x07f		0x00		c
0x080		0x00		Ö
0x081		0x00		e
0x082		0x00		–
0x083		0x00		{
0x084		0x00		s
0x085		0x00		8
0x086		0x00		»
0x087		0x00		é
0x088		0x00		ö
0x089		0x00		z
0x08a		0x00		“
0x08b		0x00		<
0x08c		0x00		°
0x08d		0x00		π
0x08e		0x00		 
0x08f		0x00		ñ
0x090		0x00		≠
0x091		0x00		ª
0x092		0x00		r
0x093		0x00		®
0x094		0x00		§
0x095		0x00		œ
0x096		0x00		=
0x097		0x00		p
0x098		0x00		L
0x099		0x00		)
0x09a		0x00		e
0x09b		0x00		©
0x09c		0x00		ø
0x09d		0x00		“
0x09e		0x00		±
0x09f		0x00		1
0x0a0		0x00		$
0x0a1		0x00		©
0x0a2		0x00		P
0x0a3		0x00		w
0x0a4		0x00		¡
0x0a5		0x00		@
0x0a6		0x00		-
0x0a7		0x00		H
0x0a8		0x00		_
0x0a9		0x00		£
0x0aa		0x00		c
0x0ab		0x00		(
0x0ac		0x00		I
0x0ad		0x00		“
0x0ae		0x00		c
0x0af		0x00		’
0x0b0		0x00		z
0x0b1		0x00		y
0x0b2		0x00		k
0x0b3		0x00		F
0x0b4		0x00		p
0x0b5		0x00		á
0x0b6		0x00		[
0x0b7		0x00		õ
0x0b8		0x00		ê
0x0b9		0x00		ü
0x0ba		0x00		2
0x0bb		0x00		<
0x0bc		0x00		^
0x0bd		0x00		á
0x0be		0x00		»
0x0bf		0x00		a
0x0c0		0x00		X
0x0c1		0x00		@
0x0c2		0x00		∑
0x0c3		0x00		Ω
0x0c4		0x00		`
0x0c5		0x00		à
0x0c6		0x00		-
0x0c7		0x00		û
0x0c8		0x00		T
0x0c9		0x00		5
0x0ca		0x00		j
0x0cb		0x00		|
0x0cc		0x00		´
0x0cd		0x00		¨
0x0ce		0x00		?
0x0cf		0x00		M
0x0d0		0x00		N
0x0d1		0x00		â
0x0d2		0x00		r
0x0d3		0x00		ù
0x0d4		0x00		¥
0x0d5		0x00		¨
0x0d6		0x00		&
0x0d7		0x00		1
0x0d8		0x00		s
0x0d9		0x00		≥
0x0da		0x00		»
0x0db		0x00		∞
0x0dc		0x00		b
0x0dd		0x00		∏
0x0de		0x00		∂
0x0df		0x00		ô
0x0e0		0x00		!
0x0e1		0x00		ï
0x0e2		0x00		D
0x0e3		0x00		%
0x0e4		0x00		¬
0x0e5		0x00		P
0x0e6		0x00		g
0x0e7		0x00		>
0x0e8		0x00		)
0x0e9		0x00		∞
0x0ea		0x00		^
0x0eb		0x00		≥
0x0ec		0x00		Ö
0x0ed		0x00		A
0x0ee		0x00		(
0x0ef		0x00		≤
0x0f0		0x00		n
0x0f1		0x00		?
0x0f2		0x00		<
0x0f3		0x00		K
0x0f4		0x00		 
0x0f5		0x00		Ω
0x0f6		0x00		◊
0x0f7		0x00		+
0x0f8		0x00		ò
0x0f9		0x00		»
0x0fa		0x00		
0x0fb		0x00		"
0x0fc		0x00		®
0x0fd		0x00		]
0x0fe		0x00		`
0x0ff		0x00		m
0x100		0x01		ó
0x101		0x01		É
0x102		0x01		q
0x103		0x01		Å
0x104		0x01		w
0x105		0x01		∑
0x106		0x01		c
0x107		0x01		Ä
0x108		0x01		U
0x109		0x01		e
0x10a		0x01		◊
0x10b		0x01		π
0x10c		0x01		Ü
0x10d		0x01		§
0x10e		0x01		X
0x10f		0x01		”
0x110		0x01		¬
0x111		0x01		8
0x112		0x01		¬
0x113		0x01		y
0x114		0x01		’
0x115		0x01		¬
0x116		0x01		H
0x117		0x01		ï
0x118		0x01		≤
0x119		0x01		ß
0x11a		0x01		\
0x11b		0x01		G
0x11c		0x01		®
0x11d		0x01		õ
0x11e		0x01		î
0x11f		0x01		g
0x120		0x01		¬
0x121		0x01		©
0x122		0x01		å
0x123		0x01		a
0x124		0x01		N
0x125		0x01		Œ
0x126		0x01		Ö
0x127		0x01		Ç
0x128		0x01		\
0x129		0x01		Ö
0x12a		0x01		(
0x12b		0x01		Ü
0x12c		0x01		Q
0x12d		0x01		_
0x12e		0x01		Å
0x12f		0x01		∑
0x130		0x01		v
0x131		0x01		1
0x132		0x01		X
0x133		0x01		8
0x134		0x01		“
0x135		0x01		E
0x136		0x01		≠
0x137		0x01		q
0x138		0x01		À
0x139		0x01		≠
0x13a		0x01		ó
0x13b		0x01		`
0x13c		0x01		p
0x13d		0x01		œ
0x13e		0x01		l
0x13f		0x01		Z
0x140		0x01		°
0x141		0x01		ú
0x142		0x01		_
0x143		0x01		ì
0x144		0x01		ì
0x145		0x01		ƒ
0x146		0x01		=
0x147		0x01		ì
0x148		0x01		q
0x149		0x01		D
0x14a		0x01		A
0x14b		0x01		f
0x14c		0x01		G
0x14d		0x01		f
0x14e		0x01		E
0x14f		0x01		a
0x150		0x01		v
0x151		0x01		A
0x152		0x01		y
0x153		0x01		5
0x154		0x01		e
0x155		0x01		 
0x156		0x01		Ö
0x157		0x01		‘
0x158		0x01		ü
0x159		0x01		¡
0x15a		0x01		"
0x15b		0x01		≥
0x15c		0x01		}
0x15d		0x01		m
0x15e		0x01		5
0x15f		0x01		¬
0x160		0x01		1
0x161		0x01		s
0x162		0x01		}
0x163		0x01		h
0x164		0x01		$
0x165		0x01		^
0x166		0x01		#
0x167		0x01		t
0x168		0x01		F
0x169		0x01		ø
0x16a		0x01		π
0x16b		0x01		l
0x16c		0x01		 
0x16d		0x01		¢
0x16e		0x01		r
0x16f		0x01		h
0x170		0x01		√
0x171		0x01		 
0x172		0x01		B
0x173		0x01		Ã
0x174		0x01		Å
0x175		0x01		k
0x176		0x01		…
0x177		0x01		ƒ
